tvBench_id,db_id,chart,hardness,query,question,vega_zero
3012@x_name@DESC,tracking_share_transactions,Line,Medium,"Visualize LINE SELECT date_of_transaction , AVG(share_count) FROM TRANSACTIONS  ORDER BY date_of_transaction DESC BIN date_of_transaction BY YEAR",Line chart showing mean share count by date of transaction in descending order of date of transaction and binning by year.,mark line data transactions encoding x date_of_transaction y aggregate mean share_count transform sort x desc bin x by year
1542@y_name@ASC,hr_1,Bar,Extra Hard,"Visualize BAR SELECT HIRE_DATE , SUM(SALARY) FROM employees WHERE first_name LIKE '%D%' OR first_name LIKE '%S%'  ORDER BY SUM(SALARY) ASC BIN HIRE_DATE BY MONTH","Bar chart showing salaries for employees who have the letters ""d"" or ""s"" in their first name by hire date in ascending order of the y-axis and binning by month.",mark bar data employees encoding x hire_date y aggregate sum salary transform filter first_name like '%d%' or first_name like '%s%' sort y asc bin x by month
3111@x_name@ASC,university_basketball,Bar,Easy,"Visualize BAR SELECT Team_Name , School_ID FROM basketball_match ORDER BY Team_Name ASC",Bar chart showing school ids by team name in ascending order of team name.,mark bar data basketball_match encoding x team_name y aggregate none school_id transform sort x asc
1898@y_name@DESC,hr_1,Bar,Easy,"Visualize BAR SELECT FIRST_NAME , DEPARTMENT_ID FROM employees ORDER BY DEPARTMENT_ID DESC",Bar chart showing department id from each first name in descending order of department id.,mark bar data employees encoding x first_name y aggregate none department_id transform sort y desc
1412,flight_1,Pie,Medium,"Visualize PIE SELECT destination , COUNT(destination) FROM Flight WHERE price > 300 GROUP BY destination",Pie chart showing the number of flights with prices higher than $300 for each destination city.,mark arc data flight encoding x destination y aggregate count destination transform filter price > 300 group x
909@y_name@DESC,customer_complaints,Bar,Medium,"Visualize BAR SELECT product_category_code , avg(product_price) FROM products GROUP BY product_category_code ORDER BY avg(product_price) DESC",Bar chart showing average price of products for each category in descending order of the y-axis.,mark bar data products encoding x product_category_code y aggregate mean product_price transform group x sort y desc
1822@x_name@ASC,hr_1,Line,Hard,"Visualize LINE SELECT HIRE_DATE , SALARY FROM employees WHERE first_name NOT LIKE '%M%' ORDER BY HIRE_DATE ASC","Line chart showing salaries for employees whose first name does not contain ""m"" by hire date in ascending order of hire date.",mark line data employees encoding x hire_date y aggregate none salary transform filter first_name not like '%m%' sort x asc
345,bike_1,Bar,Easy,"Visualize BAR SELECT date , AVG(cloud_cover) FROM weather BIN date BY YEAR",Bar chart showing mean cloud cover by date binning by year.,mark bar data weather encoding x date y aggregate mean cloud_cover transform bin x by year
1487@x_name@ASC,game_injury,Stacked Bar,Hard,"Visualize BAR SELECT Away_team , COUNT(Away_team) FROM game GROUP BY Home_team ,  Away_team ORDER BY Away_team ASC","Bar chart showing how many away teams are with each home team in each away team, sorted by the bars.",mark bar data game encoding x away_team y aggregate count away_team color home_team transform group x sort x asc
2929@y_name@DESC,swimming,Bar,Medium,"Visualize BAR SELECT meter_200 , COUNT(meter_200) FROM swimmer GROUP BY meter_200 ORDER BY COUNT(meter_200) DESC",Bar chart showing the number of meter 200 across meter 200 in descending order of the y-axis.,mark bar data swimmer encoding x meter_200 y aggregate count meter_200 transform group x sort y desc
275,behavior_monitoring,Scatter,Easy,"Visualize SCATTER SELECT address_id , monthly_rental FROM Student_Addresses ORDER BY monthly_rental DESC",Scatter chart showing the relationship between address id and monthly rental in descending order of monthly rental.,mark point data student_addresses encoding x address_id y aggregate none monthly_rental transform sort y desc
2110@y_name@ASC,local_govt_and_lot,Bar,Medium,"Visualize BAR SELECT date_moved_in , COUNT(date_moved_in) FROM customer_events  ORDER BY COUNT(date_moved_in) ASC BIN date_moved_in BY YEAR",Bar chart showing how many dates moved in by year in ascending order of the y-axis and binning by year.,mark bar data customer_events encoding x date_moved_in y aggregate count date_moved_in transform sort y asc bin x by year
2670,riding_club,Pie,Medium,"Visualize PIE SELECT Residence , COUNT(Residence) FROM player WHERE Occupation != ""Researcher"" GROUP BY Residence","Pie chart showing the proportion of residences of players whose occupation is not ""researcher"".","mark arc data player encoding x residence y aggregate count residence transform filter occupation != ""researcher"" group x"
2109,local_govt_and_lot,Bar,Easy,"Visualize BAR SELECT date_moved_in , COUNT(date_moved_in) FROM customer_events GROUP BY date_moved_in",Bar chart showing the count of move in dates.,mark bar data customer_events encoding x date_moved_in y aggregate count date_moved_in transform group x
2436@x_name@ASC,music_4,Bar,Medium,"Visualize BAR SELECT Category , COUNT(*) FROM music_festival GROUP BY Category ORDER BY Category ASC",Bar chart showing the number of music festivals of each category in ascending order of category.,mark bar data music_festival encoding x category y aggregate count category transform group x sort x asc
2941@y_name@ASC,theme_gallery,Bar,Medium,"Visualize BAR SELECT Country , COUNT(Country) FROM artist GROUP BY Country ORDER BY COUNT(Country) ASC",Bar chart showing the number of countries in ascending order of the y-axis.,mark bar data artist encoding x country y aggregate count country transform group x sort y asc
2174@x_name@ASC,manufactory_1,Bar,Medium,"Visualize BAR SELECT Name , max(revenue) FROM manufacturers GROUP BY Headquarter ORDER BY Name ASC","Bar chart showing maximal revenue across name, grouped by headquarter and ranked in ascending order of name.",mark bar data manufacturers encoding x name y aggregate max revenue color headquarter transform sort x asc
3111@y_name@ASC,university_basketball,Bar,Easy,"Visualize BAR SELECT Team_Name , School_ID FROM basketball_match ORDER BY School_ID ASC",Bar chart showing team names in ascending order of school id.,mark bar data basketball_match encoding x team_name y aggregate none school_id transform sort y asc
927,customers_and_invoices,Stacked Bar,Hard,"Visualize BAR SELECT date_account_opened , COUNT(date_account_opened) FROM Accounts GROUP BY other_account_details BIN date_account_opened BY WEEKDAY","Bar chart showing the number of date accounts opened with each other account details, binned by weekday and grouped by other account details.",mark bar data accounts encoding x date_account_opened y aggregate count date_account_opened color other_account_details transform bin x by weekday
1780@x_name@ASC,hr_1,Bar,Hard,"Visualize BAR SELECT JOB_ID , SUM(DEPARTMENT_ID) FROM employees WHERE hire_date < '2002-06-21' GROUP BY JOB_ID ORDER BY JOB_ID ASC","Bar chart showing the distribution of job id and the sum of department id for employees hired before 2002-06-21, grouped by job id and ranked in ascending order of job id.",mark bar data employees encoding x job_id y aggregate sum department_id transform filter hire_date < '2002-06-21' group x sort x asc
3105@x_name@DESC,university_basketball,Bar,Medium,"Visualize BAR SELECT All_Home , AVG(School_ID) FROM basketball_match GROUP BY All_Home ORDER BY All_Home DESC",Bar chart showing the mean school id from different all home in descending order of all home.,mark bar data basketball_match encoding x all_home y aggregate mean school_id transform group x sort x desc
2127@x_name@DESC,local_govt_in_alabama,Bar,Medium,"Visualize BAR SELECT Participant_Type_Code , COUNT(Participant_Type_Code) FROM Participants GROUP BY Participant_Type_Code ORDER BY Participant_Type_Code DESC",Bar chart showing the number of participants in each participant type code in descending order of participant type code.,mark bar data participants encoding x participant_type_code y aggregate count participant_type_code transform group x sort x desc
3124@x_name@ASC,university_basketball,Bar,Medium,"Visualize BAR SELECT All_Home , COUNT(All_Home) FROM basketball_match GROUP BY All_Home ORDER BY All_Home ASC",Bar chart showing the number of all home in ascending order of all home.,mark bar data basketball_match encoding x all_home y aggregate count all_home transform group x sort x asc
2915@x_name@DESC,swimming,Bar,Easy,"Visualize BAR SELECT name , meter_100 FROM swimmer ORDER BY name DESC",Bar chart showing names versus meter 100 in descending order of name.,mark bar data swimmer encoding x name y aggregate none meter_100 transform sort x desc
2450@y_name@ASC,musical,Bar,Medium,"Visualize BAR SELECT Nominee , COUNT(*) FROM musical GROUP BY Nominee ORDER BY COUNT(*) ASC",Bar chart showing the total number in ascending order of the y-axis.,mark bar data musical encoding x nominee y aggregate count nominee transform group x sort y asc
1498@x_name@DESC,gas_company,Bar,Medium,"Visualize BAR SELECT Headquarters , count(*) FROM company GROUP BY headquarters ORDER BY Headquarters DESC",Bar chart showing the total number from each headquarters in descending order of headquarters.,mark bar data company encoding x headquarters y aggregate count headquarters transform group x sort x desc
96,apartment_rentals,Bar,Easy,"Visualize BAR SELECT apt_type_code , min(room_count) FROM Apartments GROUP BY apt_type_code",Bar chart showing minimal room count from different apt type codes.,mark bar data apartments encoding x apt_type_code y aggregate min room_count transform group x
316,bike_1,Line,Medium,"Visualize LINE SELECT date , COUNT(date) FROM weather WHERE max_temperature_f > 85 GROUP BY date",Line chart showing the number of dates with a maximum temperature higher than 85.,mark line data weather encoding x date y aggregate count date transform filter max_temperature_f > 85 group x
533@y_name@DESC,college_1,Bar,Easy,"Visualize BAR SELECT DEPT_CODE , min(stu_gpa) FROM student GROUP BY DEPT_CODE ORDER BY min(stu_gpa) DESC",Bar chart showing minimal student gpas by department code in descending order.,mark bar data student encoding x dept_code y aggregate min stu_gpa transform group x sort y desc
675,college_3,Scatter,Easy,"Visualize SCATTER SELECT Credits , Instructor FROM COURSE ORDER BY Credits",Scatter chart showing the relationship between credits and instructor.,mark point data course encoding x credits y aggregate none instructor transform sort x
485@x_name@ASC,climbing,Bar,Medium,"Visualize BAR SELECT Country , COUNT(*) FROM climber GROUP BY Country ORDER BY Country ASC",Bar chart showing the number of climbers from each country in ascending order of country.,mark bar data climber encoding x country y aggregate count country transform group x sort x asc
1780,hr_1,Bar,Medium,"Visualize BAR SELECT JOB_ID , SUM(DEPARTMENT_ID) FROM employees WHERE hire_date < '2002-06-21' GROUP BY JOB_ID","Bar chart showing the comparison of sum of department ids over job ids for employees hired before 2002-06-21, grouped by job ids.",mark bar data employees encoding x job_id y aggregate sum department_id transform filter hire_date < '2002-06-21' group x
1347,employee_hire_evaluation,Bar,Easy,"Visualize BAR SELECT Is_full_time , SUM(Employee_ID) FROM hiring GROUP BY Is_full_time",Bar chart showing the difference between full-time and part-time employees.,mark bar data hiring encoding x is_full_time y aggregate sum employee_id transform group x
187,behavior_monitoring,Bar,Easy,"Visualize BAR SELECT date_of_notes , COUNT(date_of_notes) FROM Assessment_Notes BIN date_of_notes BY WEEKDAY",Bar chart showing the number of dates of assessment notes and binning by weekday.,mark bar data assessment_notes encoding x date_of_notes y aggregate count date_of_notes transform bin x by weekday
3138@x_name@DESC,university_basketball,Bar,Easy,"Visualize BAR SELECT All_Games , ACC_Percent FROM basketball_match ORDER BY All_Games DESC",Bar chart showing the accuracy percentage of all games in descending order of all games.,mark bar data basketball_match encoding x all_games y aggregate none acc_percent transform sort x desc
1411@y_name@DESC,flight_1,Bar,Medium,"Visualize BAR SELECT origin , count(*) FROM Flight GROUP BY origin ORDER BY count(*) DESC",Bar chart showing the total number from each origin in descending order of the y-axis.,mark bar data flight encoding x origin y aggregate count origin transform group x sort y desc
1793,hr_1,Scatter,Easy,"Visualize SCATTER SELECT EMPLOYEE_ID , COMMISSION_PCT FROM employees WHERE hire_date < '2002-06-21'",Scatter chart showing the relationship between employee id and commission pct for employees hired before 2002-06-21.,mark point data employees encoding x employee_id y aggregate none commission_pct transform filter hire_date < '2002-06-21'
3143,university_basketball,Bar,Easy,"Visualize BAR SELECT All_Road , All_Games_Percent FROM basketball_match",Bar chart showing the percentage of all games from each all road.,mark bar data basketball_match encoding x all_road y aggregate none all_games_percent
1756@y_name@ASC,hr_1,Bar,Hard,"Visualize BAR SELECT HIRE_DATE , SUM(EMPLOYEE_ID) FROM employees WHERE hire_date < '2002-06-21'  ORDER BY SUM(EMPLOYEE_ID) ASC BIN HIRE_DATE BY MONTH",Bar chart showing distribution of hire date and sum of employee IDs binned by hire date in ascending order of the y-axis and binning by month.,mark bar data employees encoding x hire_date y aggregate sum employee_id transform filter hire_date < '2002-06-21' sort y asc bin x by month
1587@y_name@DESC,hr_1,Bar,Extra Hard,"Visualize BAR SELECT HIRE_DATE , AVG(MANAGER_ID) FROM employees WHERE salary BETWEEN 8000 AND 12000 AND commission_pct != ""null"" OR department_id != 40  ORDER BY AVG(MANAGER_ID) DESC BIN HIRE_DATE BY MONTH","Bar chart showing the distribution of hire date and the average of manager id bin hire date by time for employees with salaries between 8000 and 12000 and commission not null or department number not equal to 40, in descending order of the y-axis and binning by month.","mark bar data employees encoding x hire_date y aggregate mean manager_id transform filter salary between 8000 and 12000 and commission_pct != ""null"" or department_id != 40 sort y desc bin x by month"
2445,musical,Pie,Hard,"Visualize PIE SELECT Nominee , COUNT(Nominee) FROM musical WHERE Award = ""Tony Award"" OR Award = ""Cleavant Derricks"" GROUP BY Nominee","Pie chart showing the number of musical nominees with award ""bob fosse"" or ""cleavant derricks"".","mark arc data musical encoding x nominee y aggregate count nominee transform filter award = ""tony award"" or award = ""cleavant derricks"" group x"
1511@x_name@DESC,gas_company,Bar,Medium,"Visualize BAR SELECT Manager_Name , COUNT(Manager_Name) FROM gas_station GROUP BY Manager_Name ORDER BY Manager_Name DESC",Bar chart showing the number of gas stations each manager has in descending order of manager name.,mark bar data gas_station encoding x manager_name y aggregate count manager_name transform group x sort x desc
619@x_name@ASC,college_2,Bar,Easy,"Visualize BAR SELECT dept_name , min(salary) FROM instructor GROUP BY dept_name ORDER BY dept_name ASC",Bar chart showing minimal salary from each dept name in ascending order of dept name.,mark bar data instructor encoding x dept_name y aggregate min salary transform group x sort x asc
7@y_name@ASC,activity_1,Bar,Medium,"Visualize BAR SELECT Building , count(*) FROM Faculty GROUP BY building ORDER BY count(*) ASC",Bar chart showing the total number from different buildings in ascending order of the y-axis.,mark bar data faculty encoding x building y aggregate count building transform group x sort y asc
1557@x_name@ASC,hr_1,Line,Extra Hard,"Visualize LINE SELECT HIRE_DATE , DEPARTMENT_ID FROM employees WHERE first_name LIKE '%D%' OR first_name LIKE '%S%' ORDER BY HIRE_DATE ASC","Line chart showing departments, hire dates, and first names with the letters ""d"" or ""s"" in ascending order of hire date.",mark line data employees encoding x hire_date y aggregate none department_id transform filter first_name like '%d%' or first_name like '%s%' sort x asc
2740@y_name@ASC,ship_1,Bar,Medium,"Visualize BAR SELECT Class , avg(age) FROM captain GROUP BY CLASS ORDER BY avg(age) ASC",Bar chart showing the average age of captains in different classes in ascending order of the y-axis.,mark bar data captain encoding x class y aggregate mean age transform group x sort y asc
1773@x_name@DESC,hr_1,Line,Medium,"Visualize LINE SELECT HIRE_DATE , MANAGER_ID FROM employees WHERE hire_date < '2002-06-21' ORDER BY HIRE_DATE DESC","Line chart showing manager ids, hire dates, and trends for employees hired before 2002-06-21 in descending order of hire date.",mark line data employees encoding x hire_date y aggregate none manager_id transform filter hire_date < '2002-06-21' sort x desc
265,behavior_monitoring,Bar,Medium,"Visualize BAR SELECT date_address_from , AVG(monthly_rental) FROM Student_Addresses  ORDER BY monthly_rental DESC BIN date_address_from BY WEEKDAY",Bar chart showing the average monthly rental over the date address binned by weekday in descending order.,mark bar data student_addresses encoding x date_address_from y aggregate mean monthly_rental transform sort monthly_rental desc bin x by weekday
1185@y_name@DESC,dog_kennels,Bar,Medium,"Visualize BAR SELECT date_departed , COUNT(date_departed) FROM Dogs  ORDER BY COUNT(date_departed) DESC BIN date_departed BY WEEKDAY",Bar chart showing the number of date departed across date departed in descending order of the y-axis and binning by weekday.,mark bar data dogs encoding x date_departed y aggregate count date_departed transform sort y desc bin x by weekday
248,behavior_monitoring,Bar,Medium,"Visualize BAR SELECT date_address_from , COUNT(date_address_from) FROM Student_Addresses  ORDER BY monthly_rental DESC BIN date_address_from BY WEEKDAY",Bar chart showing the comparison of the amount of data address from over the date address binned by weekday.,mark bar data student_addresses encoding x date_address_from y aggregate count date_address_from transform sort monthly_rental desc bin x by weekday
2681,riding_club,Bar,Easy,"Visualize BAR SELECT Occupation , COUNT(*) FROM player GROUP BY Occupation",Bar chart showing the total number by occupation.,mark bar data player encoding x occupation y aggregate count occupation transform group x
1839,hr_1,Bar,Easy,"Visualize BAR SELECT HIRE_DATE , COUNT(HIRE_DATE) FROM employees BIN HIRE_DATE BY WEEKDAY",Bar chart showing the number of hires grouped by hire date binned by weekday.,mark bar data employees encoding x hire_date y aggregate count hire_date transform bin x by weekday
212,behavior_monitoring,Stacked Bar,Extra Hard,"Visualize BAR SELECT date_address_from , COUNT(date_address_from) FROM Student_Addresses GROUP BY other_details ORDER BY monthly_rental DESC BIN date_address_from BY WEEKDAY","Bar chart showing the amount of data address from over time and grouped by other details, binned by weekday in descending order.",mark bar data student_addresses encoding x date_address_from y aggregate count date_address_from color other_details transform sort monthly_rental desc bin x by weekday
586@y_name@ASC,college_1,Bar,Medium,"Visualize BAR SELECT DEPT_CODE , sum(crs_credit) FROM course GROUP BY dept_code ORDER BY sum(crs_credit) ASC",Bar chart showing the number of credits offered by the department in ascending order.,mark bar data course encoding x dept_code y aggregate sum crs_credit transform group x sort y asc
2962,tracking_grants_for_research,Bar,Easy,"Visualize BAR SELECT date_from , COUNT(date_from) FROM Project_Staff BIN date_from BY WEEKDAY",Bar chart showing the number of dates grouped by date and binning by weekday.,mark bar data project_staff encoding x date_from y aggregate count date_from transform bin x by weekday
2964@x_name@ASC,tracking_grants_for_research,Line,Medium,"Visualize LINE SELECT date_from , COUNT(date_from) FROM Project_Staff ORDER BY date_from ASC BIN date_from BY YEAR",Line chart showing the trend of dates over the years in ascending order of date and binning by year.,mark line data project_staff encoding x date_from y aggregate count date_from transform sort x asc bin x by year
753@y_name@ASC,cre_Doc_Template_Mgt,Bar,Medium,"Visualize BAR SELECT Template_Type_Code , count(*) FROM Templates GROUP BY template_type_code ORDER BY count(*) ASC",Bar chart showing total number of template type codes in ascending order of the y-axis.,mark bar data templates encoding x template_type_code y aggregate count template_type_code transform group x sort y asc
925,customers_and_invoices,Scatter,Easy,"Visualize SCATTER SELECT gender , count(*) FROM Customers GROUP BY gender",Scatter chart showing the number of customers for each gender.,mark point data customers encoding x gender y aggregate count gender transform group x
